Region,allen_name,allen_id,allen_acronym,Parent structure,Mid-level group,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,count,normalized,source_sheet
Taenia tecta,Taenia tecta,589,TT,Cortex,Olfactory / Piriform cortex,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,32,1.211773343469603,"brain1,brain2,brain3,brain4,brain7,brain9"
Temporal association areas,Temporal association areas,541,TEa,Cortex,Auditory cortex,Isocortex,Cerebrum,Isocortex,True,False,,,56,2.368074095980967,"brain1,brain2,brain4,brain6,brain7,brain8,brain9"
Thalamus,Thalamus,549,TH,Thalamus,General thalamus,Interbrain,Brain stem,,False,True,,,121,4.177219152420521,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Triangular nucleus of septum,Triangular nucleus of septum,581,TRS,Unknown,Unknown,"Pallidum, medial region",Cerebrum,,False,True,,,1,0.0597014925373134,brain2
Tuberal nucleus,Tuberal nucleus,614,TU,Unknown,Unknown,Hypothalamic lateral zone,Brain stem,,False,True,,,4,0.16059144408018458,"brain3,brain4"
Ventral anterior-lateral complex of the thalamus,Ventral anterior-lateral complex of the thalamus,629,VAL,Thalamus,Ventral thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,357,9.750234092752951,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Ventral auditory area,Ventral auditory area,1018,AUDv,Cortex,Auditory cortex,Auditory areas,Cerebrum,Isocortex,True,False,,,102,3.098092680160599,"brain1,brain2,brain6,brain7,brain8,brain9"
Ventral medial nucleus of the thalamus,Ventral medial nucleus of the thalamus,685,VM,Thalamus,Ventral thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,141,3.9011086502182994,"brain1,brain2,brain3,brain4,brain6,brain7,brain8,brain9"
Ventral part of the lateral geniculate complex,Ventral part of the lateral geniculate complex,178,LGv,Thalamus,Geniculate complex,"Geniculate group, ventral thalamus",Brain stem,,False,True,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",1,0.0169548999660902,brain1
Ventral posterolateral nucleus of the thalamus,Ventral posterolateral nucleus of the thalamus,718,VPL,Unknown,Unknown,Ventral posterior complex of the thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,51,1.4093739421046478,"brain1,brain2,brain4,brain5,brain6,brain7,brain8,brain9"
Ventral posteromedial nucleus of the thalamus,Ventral posteromedial nucleus of the thalamus,733,VPM,Thalamus,Ventral thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,281,6.2435240417812,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain9"
Ventral premammillary nucleus,Ventral premammillary nucleus,1004,PMv,Hypothalamus,Mammillary region,Hypothalamic medial zone,Brain stem,,False,True,,,4,0.093147103617046,"brain1,brain4,brain9"
Ventral tegmental area,Ventral tegmental area,749,VTA,Midbrain,Dopaminergic nuclei,"Midbrain, motor related",Brain stem,,False,True,,,10,0.169548999660902,brain1
Ventromedial hypothalamic nucleus,Ventromedial hypothalamic nucleus,693,VMH,Hypothalamus,Tuberal region,Hypothalamic medial zone,Brain stem,,False,True,,,4,0.1181101608412201,"brain1,brain4,brain7"
Visceral area,Visceral area,677,VISC,Cortex,Somatosensory cortex,Isocortex,Cerebrum,Isocortex,True,False,,,648,13.018380274105692,"brain1,brain2,brain3,brain4,brain5,brain6,brain8,brain9"
Zona incerta,Zona incerta,797,ZI,Hypothalamus,Lateral hypothalamus,Hypothalamic lateral zone,Brain stem,,False,True,,,101,2.7968107389583734,"brain1,brain2,brain3,brain4,brain7,brain8,brain9"
